'y-axis saved as y
'x,CLR_4N_051D_XRD_20190814.raw,Diff,Ycalc
38.9175445,1371,37.635483,1333.36452
38.9481496,1404,29.634546,1374.36545
38.9787546,1425,-127.341006,1552.34101
39.0093596,1604,-1071.30438,2675.30438
39.0399647,1486,-619.030469,2105.03047
39.0705697,1354,-181.712704,1535.7127
39.1011747,1494,-290.843622,1784.84362
39.1317798,1404,-322.373054,1726.37305
39.1623848,1365,-88.4934709,1453.49347
39.1929899,1337,3.41219349,1333.58781
39.2235949,1295,-9.2059861,1304.20599
39.2541999,1362,70.3781469,1291.62185
39.284805,1284,-0.562173981,1284.56217
39.31541,1303,23.0517207,1279.94828
39.346015,1292,15.3722501,1276.62775
39.3766201,1381,106.920719,1274.07928
39.4072251,1347,74.9648418,1272.03516
39.4378301,1307,36.655306,1270.34469
39.4684352,1289,20.0830933,1268.91691
39.4990402,1239,-28.6936863,1267.69369
39.5296452,1342,78.1057293,1263.89427
39.5602503,1224,-39.3096591,1263.30966
39.5908553,1282,19.2141739,1262.78583
39.6214603,1235,-27.3210207,1262.32102
39.6520654,1275,13.0865323,1261.91347
39.6826704,1298,36.4386303,1261.56137
39.7132755,1314,52.7370907,1261.26291
39.7438805,1307,45.9837495,1261.01625
39.7744855,1281,20.1804589,1260.81954
39.8050906,1277,16.3290854,1260.67091
39.8356956,1281,20.4315084,1260.56849
39.8663006,1269,8.48961753,1260.51038
39.8969057,1287,26.5053116,1260.49469
39.9275107,1282,21.4804965,1260.5195
39.9581157,1259,-1.58291698,1260.58292
39.9887208,1245,-15.6830141,1260.68301
40.0193258,1248,-12.8178787,1260.81788
40.0499308,1292,31.0144059,1260.98559
40.0805359,1245,-16.1842456,1261.18425
40.1111409,1241,-20.4119214,1261.41192
40.1417459,1277,15.3332853,1261.66671
40.172351,1275,13.0532753,1261.94672
40.202956,1293,30.7499411,1262.25006
40.2335611,1290,27.4251662,1262.57483
40.2641661,1279,16.0808229,1262.91918
40.2947711,1258,-5.28122859,1263.28123
40.3253762,1286,22.3408584,1263.65914
40.3559812,1331,66.9489152,1264.05108
40.3865862,1323,58.5447571,1264.45524
40.4171913,1305,40.1301814,1264.86982
40.4477963,1330,64.7069669,1265.29303
40.4784013,1270,4.27687203,1265.72313
40.5090064,1282,15.8416339,1266.15837
40.5396114,1289,22.4029672,1266.59703
40.5702164,1374,106.962563,1267.03744
40.6008215,1232,-35.4779115,1267.47791
40.6314265,1274,6.08318389,1267.91682
40.6620316,1327,58.6474637,1268.35254
40.6926366,1242,-26.7834855,1268.78349
40.7232416,1337,67.7918944,1269.20811
40.7538467,1302,32.3751321,1269.62487
40.7844517,1256,-14.032274,1270.03227
40.8150567,1234,-36.4288564,1270.42886
40.8456618,1343,72.1868201,1270.81318
40.8762668,1303,31.8161587,1271.18384
40.9068718,1223,-48.5394711,1271.53947
40.9374769,1342,70.1212663,1271.87873
40.9680819,1382,109.799672,1272.20033
40.9986869,1285,12.4970123,1272.50299
41.029292,1327,54.214517,1272.78548
41.059897,1352,78.9533803,1273.04662
41.090502,1275,1.71475942,1273.28524
41.1211071,1330,56.4997745,1273.50023
41.1517121,1263,-10.6904918,1273.69049
41.1823172,1406,132.145005,1273.85499
41.2129222,1290,16.0072716,1273.99273
41.2435272,1252,-22.1027246,1274.10272
41.2741323,1306,31.8159455,1274.18405
41.3047373,1327,52.7641717,1274.23583
41.3353423,1292,17.7428045,1274.2572
41.3659474,1359,84.7526551,1274.24734
41.3965524,1330,55.794495,1274.20551
41.4271574,1255,-19.1309442,1274.13094
41.4577625,1247,-27.0229702,1274.02297
41.4883675,1309,35.1190691,1273.88093
41.5189725,1223,-50.704214,1273.70421
41.5495776,1244,-29.4922468,1273.49225
41.5801826,1289,15.7555035,1273.2445
41.6107876,1299,26.0395301,1272.96047
41.6413927,1244,-28.6397133,1272.63971
41.6719977,1267,-5.28181256,1272.28181
41.7026028,1260,-11.8863927,1271.88639
41.7332078,1232,-39.4531178,1271.45312
41.7638128,1293,22.0183093,1270.98169
41.7944179,1242,-28.471853,1270.47185
41.8250229,1242,-27.9233844,1269.92338
41.8556279,1284,14.6638974,1269.3361
41.886233,1254,-14.709863,1268.70986
41.916838,1289,20.9554415,1268.04456
41.947443,1205,-62.3401187,1267.34012
41.9780481,1206,-60.5965098,1266.59651
42.0086531,1201,-64.8137341,1265.81373
42.0392581,1198,-66.9918297,1264.99183
42.0698632,1228,-36.1308696,1264.13087
42.1004682,1306,42.7690382,1263.23096
42.1310733,1244,-18.2922485,1262.29225
42.1616783,1243,-18.3149053,1261.31491
42.1922833,1219,-41.2991412,1260.29914
42.2228884,1258,-1.2451976,1259.2452
42.2534934,1261,2.84665208,1258.15335
42.2840984,1150,-107.023897,1257.0239
42.3147035,1224,-31.8571802,1255.85718
42.3453085,1243,-11.6535634,1254.65356
42.3759135,1293,39.5865586,1253.41344
42.4065186,1174,-78.1372384,1252.13724
42.4371236,1228,-22.8254061,1250.82541
42.4677286,1180,-69.478424,1249.47842
42.4983337,1240,-8.09679827,1248.0968
42.5289387,1193,-53.6810609,1246.68106
42.5595437,1189,-56.2317692,1245.23177
42.5901488,1215,-28.749505,1243.7495
42.6207538,1268,25.7651261,1242.23487
42.6513589,1236,-4.68850436,1240.6885
42.6819639,1194,-45.1110472,1239.11105
42.7125689,1254,16.4968255,1237.50317
42.743174,1158,-86.8488272,1244.84883
42.773779,1205,-39.3963705,1244.39637
42.804384,1209,-35.1796592,1244.17966
42.8349891,1179,-65.2819852,1244.28199
42.8655941,1225,-19.8216515,1244.82165
42.8961991,1245,-0.971422543,1245.97142
42.9268042,1197,-50.9918768,1247.99188
42.9574092,1237,-20.3536051,1257.35361
42.9880142,1304,37.6971856,1266.30281
43.0186193,1334,57.4884957,1276.5115
43.0492243,1354,61.425951,1292.57405
43.0798293,1397,77.8254944,1319.17451
43.1104344,1340,-26.9625257,1366.96253
43.1410394,1382,-82.956323,1464.95632
43.1716445,1617,-101.534167,1718.53417
43.2022495,3110,341.149946,2768.85005
43.2328545,10177,1495.14376,8681.85624
43.2634596,7183,1512.587,5670.413
43.2940646,2431,-92.4219696,2523.42197
43.3246696,3135,325.77391,2809.22609
43.3552747,6063,1519.50729,4543.49271
43.3858797,3119,113.492498,3005.5075
43.4164847,1610,-73.3401071,1683.34011
43.4470898,1314,-102.679629,1416.67963
43.4776948,1272,-51.6647386,1323.66474
43.5082998,1182,-96.1915489,1278.19155
43.5389049,1241,-10.4950444,1251.49504
43.5695099,1226,-7.89319926,1233.8932
43.600115,1163,-58.3013706,1221.30137
43.63072,1206,-5.72484712,1211.72485
43.661325,1186,-18.0844174,1204.08442
43.6919301,1216,18.249763,1197.75024
43.7225351,1161,-31.3326651,1192.33267
43.7531401,1179,-8.57926653,1187.57927
43.7837452,1161,-7.39770527,1168.39771
43.8143502,1142,-24.2556123,1166.25561
43.8449552,1164,-0.115506037,1164.11551
43.8755603,1188,26.0217357,1161.97826
43.9061653,1133,-26.8447552,1159.84476
43.9367703,1177,19.2841637,1157.71584
43.9673754,1154,-1.59235412,1155.59235
43.9979804,1141,-12.4751433,1153.47514
44.0285854,1136,-15.3650262,1151.36503
44.0591905,1095,-54.2628119,1149.26281
44.0897955,1201,53.8307039,1147.1693
44.1204006,1102,-43.08526,1145.08526
44.1510056,1115,-28.0114702,1143.01147
44.1816106,1135,-5.94867785,1140.94868
44.2122157,1101,-37.8976182,1138.89762
44.2428207,1096,-40.8590101,1136.85901
44.2734257,1139,4.16644467,1134.83356
44.3040308,1104,-28.8219383,1132.82194
44.3346358,1189,58.1751745,1130.82483
44.3652408,1102,-26.842865,1128.84286
44.3958459,1066,-60.8766859,1126.87669
44.4264509,1133,8.07310162,1124.9269
44.4570559,1156,33.0059075,1122.99409
44.487661,1110,-11.0788386,1121.07884
44.518266,1096,-23.1816864,1119.18169
44.548871,1158,40.6968353,1117.30316
44.5794761,1059,-56.4437814,1115.44378
44.6100811,1151,37.3959773,1113.60402
44.6406862,1065,-46.7843532,1111.78435
44.6712912,1132,22.0147845,1109.98522
44.7018962,1041,-67.2070295,1108.20703
44.7325013,1101,-5.45019282,1106.45019
44.7631063,1067,-37.7150803,1104.71508
44.7937113,1063,-40.0020437,1103.00204
44.8243164,1125,23.6885884,1101.31141
44.8549214,1084,-15.643489,1099.64349
44.8855264,1165,67.0014422,1097.99856
44.9161315,1123,26.623124,1096.37688
44.9467365,1105,10.2213223,1094.77868
